Date,Price,Open,High,Low,Vol.,Change %
23-Jun-16,18011.07,17844.11,18011.07,17844.11,98.11M,1.29%
22-Jun-16,17780.83,17832.67,17920.16,17770.36,89.44M,-0.27%
21-Jun-16,17829.73,17827.33,17877.84,17799.8,85.14M,0.14%
20-Jun-16,17804.87,17736.87,17946.36,17736.87,99.38M,0.73%
17-Jun-16,17675.16,17733.44,17733.44,17602.78,248.68M,-0.33%
16-Jun-16,17733.1,17602.23,17754.91,17471.29,91.95M,0.53%
15-Jun-16,17640.17,17703.65,17762.96,17629.01,94.13M,-0.20%
14-Jun-16,17674.82,17710.77,17733.92,17595.79,93.74M,-0.33%
13-Jun-16,17732.48,17830.5,17893.28,17731.35,101.69M,-0.74%
10-Jun-16,17865.34,17938.82,17938.82,17812.34,90.54M,-0.67%
9-Jun-16,17985.19,17969.98,18005.22,17915.88,69.69M,-0.11%
8-Jun-16,18005.05,17931.91,18016,17931.91,71.26M,0.37%
7-Jun-16,17938.28,17936.22,18003.23,17936.22,78.75M,0.10%
6-Jun-16,17920.33,17825.69,17949.68,17822.81,71.87M,0.64%
3-Jun-16,17807.06,17799.8,17833.17,17689.68,82.28M,-0.18%
2-Jun-16,17838.56,17789.05,17838.56,17703.55,75.56M,0.27%
1-Jun-16,17789.67,17754.55,17809.18,17664.79,78.53M,0.01%
31-May-16,17787.2,17891.5,17899.24,17724.03,147.39M,-0.48%
27-May-16,17873.22,17826.85,17873.22,17824.73,73.19M,0.25%
26-May-16,17828.29,17859.52,17888.66,17803.82,68.94M,-0.13%
25-May-16,17851.51,17735.09,17891.71,17735.09,79.18M,0.82%
24-May-16,17706.05,17525.19,17742.59,17525.19,86.48M,1.22%
23-May-16,17492.93,17507.04,17550.7,17480.05,87.79M,-0.05%
20-May-16,17500.94,17437.32,17571.75,17437.32,112.00M,0.38%
19-May-16,17435.4,17514.16,17514.16,17331.07,95.53M,-0.52%
18-May-16,17526.62,17501.28,17636.22,17418.21,79.12M,-0.02%
17-May-16,17529.98,17701.46,17701.46,17469.92,103.26M,-1.02%
16-May-16,17710.71,17531.76,17755.8,17531.76,88.44M,1.00%
13-May-16,17535.32,17711.12,17734.74,17512.48,86.65M,-1.05%
12-May-16,17720.5,17722.01,17798.19,17625.38,88.57M,0.05%
11-May-16,17711.12,17919.03,17919.03,17711.05,87.39M,-1.21%
10-May-16,17928.35,17726.66,17934.61,17726.66,75.79M,1.26%
9-May-16,17705.91,17743.85,17783.16,17668.38,85.59M,-0.20%
6-May-16,17740.63,17650.3,17744.54,17580.38,80.02M,0.45%
5-May-16,17660.71,17664.48,17736.11,17615.82,81.53M,0.05%
4-May-16,17651.26,17735.02,17738.06,17609.01,95.02M,-0.56%
3-May-16,17750.91,17870.75,17870.75,17670.88,97.07M,-0.78%
2-May-16,17891.16,17783.78,17912.35,17773.71,80.10M,0.66%
29-Apr-16,17773.64,17813.09,17814.83,17651.98,136.67M,-0.32%
28-Apr-16,17830.76,18023.88,18035.73,17796.55,100.92M,-1.17%
27-Apr-16,18041.55,17996.14,18084.66,17920.26,109.09M,0.28%
26-Apr-16,17990.32,17987.38,18043.77,17934.17,92.57M,0.07%
25-Apr-16,17977.24,17990.94,17990.94,17855.55,83.77M,-0.15%
22-Apr-16,18003.75,17985.05,18026.85,17909.89,134.12M,0.12%
21-Apr-16,17982.52,18092.84,18107.29,17963.89,102.72M,-0.63%
20-Apr-16,18096.27,18059.49,18167.63,18031.21,100.21M,0.24%
19-Apr-16,18053.6,18012.1,18103.46,17984.43,89.82M,0.27%
18-Apr-16,18004.16,17890.2,18009.53,17848.22,89.39M,0.60%
15-Apr-16,17897.46,17925.95,17937.65,17867.41,118.16M,-0.16%
14-Apr-16,17926.43,17912.25,17962.14,17885.44,84.51M,0.10%
13-Apr-16,17908.28,17741.66,17918.35,17741.66,91.71M,1.06%
12-Apr-16,17721.25,17571.34,17744.43,17553.57,81.02M,0.94%
11-Apr-16,17556.41,17586.48,17731.63,17555.9,107.10M,-0.12%
8-Apr-16,17576.96,17555.39,17694.51,17528.16,79.99M,0.20%
7-Apr-16,17541.96,17687.28,17687.28,17484.23,90.12M,-0.98%
6-Apr-16,17716.05,17605.45,17723.55,17542.54,99.41M,0.64%
5-Apr-16,17603.32,17718.03,17718.03,17579.56,115.23M,-0.75%
4-Apr-16,17737,17799.39,17806.38,17710.67,85.23M,-0.31%
1-Apr-16,17792.75,17661.74,17811.48,17568.02,104.89M,0.61%
31-Mar-16,17685.09,17716.05,17755.7,17669.72,102.60M,-0.18%
30-Mar-16,17716.66,17652.36,17790.11,17652.36,79.33M,0.47%
29-Mar-16,17633.11,17512.58,17642.81,17434.27,86.16M,0.56%
28-Mar-16,17535.39,17526.08,17583.81,17493.03,70.46M,0.11%
24-Mar-16,17515.73,17485.33,17517.14,17399.01,84.10M,0.08%
23-Mar-16,17502.59,17588.81,17588.81,17486.27,84.24M,-0.45%
22-Mar-16,17582.57,17602.71,17648.94,17540.42,95.45M,-0.23%
21-Mar-16,17623.87,17589.7,17644.97,17551.28,84.41M,0.12%
18-Mar-16,17602.3,17481.49,17620.58,17481.49,321.23M,0.69%
17-Mar-16,17481.49,17321.38,17529.01,17297.65,117.99M,0.90%
16-Mar-16,17325.76,17249.34,17379.18,17204.07,118.71M,0.43%
15-Mar-16,17251.53,17217.15,17251.7,17120.35,92.83M,0.13%
14-Mar-16,17229.13,17207.49,17275.07,17161.16,96.35M,0.09%
